WKT,name,description
"POLYGON ((-122.0140202 37.2503447, -122.0139344 37.2580646, -122.0243199 37.2580646, -122.0340188 37.2671498, -122.0341046 37.2677645, -122.0342763 37.2700186, -122.0359929 37.2713163, -122.0423443 37.271248, -122.0468934 37.2642126, -122.0299847 37.2510962, -122.0208867 37.2462453, -122.0140202 37.2503447))",Saratoga Study area,
"POINT (-122.0374198 37.2598756)",14315 Paul Ave,
"POINT (-122.041527 37.2400111)",15554 On Orbit Dr,
"POINT (-122.0255413 37.2545291)",14690 Horseshoe Dr,
"POINT (-122.0306259 37.268802)",20476 Chalet Ln,
"POINT (-121.9954508 37.26872460000001)",18601 Perego Way,
"POINT (-122.01586 37.2728578)",19608 Braemar Dr,
"POINT (-122.0029576 37.2736062)",18994 Bonnet Way,
"POINT (-122.0254525 37.2719212)",20133 Thelma Ave,
"POINT (-122.0392847 37.2526603)",20878 Jacks Rd,
"POINT (-122.041638 37.2447708)",15300 Kittridge Rd,
"POINT (-122.0197459 37.2464822)",15281 Pepper Ln,
"POINT (-122.003535 37.2875264)",18940 Westview Dr,
"POINT (-122.0100197 37.2741852)",19375 Portos Ct,
"POINT (-122.0303373 37.2902144)",12258 Kirkdale Dr,
"POINT (-122.0038681 37.2736139)",13431 Holiday Ct,
"POINT (-122.058043 37.2731391)",22111 Villa Oaks Ln,
"POINT (-122.056911 37.2734244)",13625 Deer Trail Ct,
"POINT (-122.0194129 37.2779508)",13117 Ten Oak Way,
